run_id,model_id,benchmark,seed,sample_id,question_truncated,correct_answer,model_output_truncated,parsed_answer,is_correct,generation_time_ms,input_tokens,output_tokens
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,0,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Sentence 1: The correct answer is,,False,279.7,253,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,1,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Sentence 1: The correct answer is,,False,277.7,253,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,2,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: They were worried the wine would ruin the,,False,257.7,257,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,3,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Sentence 1: The correct answer is,,False,272.4,256,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,4,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Sentence 1: The correct answer is,,False,249.9,256,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,5,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: The cat of Sarah has some mouth problems,,False,273.0,261,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,6,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: The home that my parents had when I,,False,258.4,262,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,7,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: The home that my parents had when I,,False,259.2,263,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,8,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Natalie has a rich husband and lots of,A,False,263.6,257,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,9,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Joe immediately went to bakery before the bank,,False,270.5,257,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,10,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Joe immediately went to bakery before the bank,,False,263.5,257,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,11,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: I had to read an entire story for,,False,248.4,255,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,12,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: I had to read an entire story for,,False,251.4,255,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,13,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: He had enough time between classes to go,,False,264.1,264,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,14,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: He had enough time between classes to go,,False,262.7,265,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,15,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Lindsey like to read graphic novels but Natalie,,False,264.6,263,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,16,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Michael just bought brand new wheels for his,,False,246.0,256,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,17,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Michael just bought brand new wheels for his,,False,265.6,256,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,18,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Ian volunteered to eat Dennis's menudo,,False,262.8,259,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,19,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Christmas was a special holiday to Eric but,A,False,273.4,253,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,20,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Sentence 1: The correct answer is,,False,281.2,271,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,21,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Ian volunteered to eat Dennis's menudo,,False,258.0,257,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,22,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,"Sentence: Cynthia violated the rights of Amy, because",,False,250.5,255,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,23,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Sentence 1: The correct answer is,,False,255.2,262,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,24,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Sentence 1: The correct answer is,,False,273.2,262,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,25,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: The roof of Rachel's home is old,,False,259.7,263,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,26,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: All the clutter in the house excited Leslie,,False,249.8,256,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,27,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: The portions of food today were bigger than,,False,257.0,255,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,28,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Since Craig threw aluminum cans in the trash,,False,366.0,254,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,29,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Christine was going to Jessica's house to,,False,323.9,259,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,30,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: The students were at their desks taking tests,,False,325.3,257,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,31,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Ian volunteered to eat Dennis's menudo,,False,335.5,264,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,32,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Sentence 1: The correct answer is,,False,363.4,264,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,33,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Sentence 1: The correct answer is,,False,333.1,261,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,34,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,"Sentence: Jessica enjoyed a simple, basic life with",A,False,322.1,256,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,35,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: I wanted to build a bathroom on the,A,False,313.9,262,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,36,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Ian volunteered to eat Dennis's menudo,,False,304.4,257,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,37,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Tanya told Emily she couldn't come,,False,360.0,260,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,38,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Angela thinks her husband might be cheating with,,False,382.7,256,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,39,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Ian volunteered to eat Dennis's menudo,,False,254.3,258,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,40,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Ian volunteered to eat Dennis's menudo,,False,247.3,256,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,41,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: The man used his eyes to read the,,False,268.6,254,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,42,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Jill was on a budget so she only,A,False,265.9,267,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,43,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Jill was on a budget so she only,A,True,259.2,267,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,44,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,"Sentence: On Monday, Patricia made Felicia eggs",,False,258.7,259,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,45,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Since Craig wears clear contacts and William wears,,False,258.5,262,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,46,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Since Craig wears clear contacts and William wears,,False,257.4,262,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,47,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: It was easy for Angela to become a,A,False,257.0,263,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,48,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Hunter was a better baker than Logan so,A,False,261.4,260,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,49,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Tanya spent more on the children's,,False,256.5,262,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,50,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: Sentence 1: The correct answer is,,False,262.7,260,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,51,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Sentence 1: The correct answer is,,False,258.4,260,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,52,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,Sentence: I look forward to the Sunday newspaper so,,False,273.9,269,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,53,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,"Sentence: He never comes to my home, but",,False,265.0,261,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,54,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",A,"Sentence: He never comes to my home, but",,False,255.8,261,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,55,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,"Sentence: Alcohol is a love of Matthew's,",A,False,255.0,259,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,56,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Sentence 1: The correct answer is,,False,280.7,259,10
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,winogrande,42,57,"Fill in the blank with the correct option.

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.
A. Ian
B. Dennis
Answer: B

Sentence: Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.
A…",B,Sentence: Ian volunteered to eat Dennis's menudo,,False,258.0,259,10
