run_id,model_id,benchmark,seed,sample_id,question_truncated,correct_answer,model_output_truncated,parsed_answer,is_correct,generation_time_ms,input_tokens,output_tokens
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,0,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",18,"To find out how much Janet makes at the farmers' market, we need to calculate the number of eggs she sells and then multiply it by the price per egg.

She lays 16 eggs per day and eats 3 for breakfast…",32,False,3426.8,1253,127
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,1,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",3,"To find the total number of bolts of fiber, we need to add the bolts of blue and white fiber together. 
2 + (2/2) = 2 + 1 = 3
#### 3",3,True,1661.1,1216,45
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,2,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",70000,"To find the profit, we need to calculate the original price of the house and the increased price after repairs.

Original price of the house = $80,000
Increased price after repairs = $80,000 + $50,000…",50000,False,3086.8,1239,84
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,3,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",540,"To find the total meters James runs a week, we need to multiply the number of sprints by the distance of each sprint and then multiply that by the number of times he runs sprints per week.

3 sprints …",540,True,2139.8,1224,75
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,4,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",20,"To find the total amount of feed needed for the final meal, we need to add the feed given in the morning and afternoon. 

15 + 25 = 40 cups of feed.

Since there are 20 chickens, we need to multiply t…",800,False,2466.4,1298,85
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,5,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",64,"To find out how much Kylar needs to pay for the glasses, we need to calculate the cost of the glasses and the glasses with the discount.

The cost of one glass is $5.
The cost of the glasses with the …",48,False,2770.0,1244,100
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,6,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",260,"Toulouse has 2 * 4 = 8 sheep.
Charleston has 8 * 4 = 32 sheep.
So together they have 8 + 32 = 40 sheep.
#### 40",40,False,1486.5,1231,44
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,7,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",160,"To find the total time it takes to download the file, we need to calculate the time it takes to download the file normally and then add the time it takes to restart and restart the download.

First, l…",160,True,4136.7,1255,126
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,8,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",45,"To find the distance John drives in the first 2 hours, we multiply the speed by the time: 60 mph * 2 hours = 120 miles.
To find the distance John drives in the next 2 hours, we multiply the speed by t…",325,False,3459.3,1291,126
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,9,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",460,"Let's break down Eliza's earnings for the week:

- For the first 40 hours, she earns 40 x $10 = $400.
- For the overtime hours, she earns 1.2 x $10 = $12 per hour, so for 5 hours, she earns 5 x $12 = …",460,True,2510.0,1247,89
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,10,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",366,"To find the total downloads over the three months, we need to calculate the downloads in each month and add them together.

In the first month, the downloads were 60.
In the second month, the download…",366,True,3454.7,1248,129
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,11,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",694,"To find the total cost, we need to calculate the cost of each type of pastry and then add them together.

3 dozen donuts cost 3 x $68 = $204.
2 dozen mini cupcakes cost 2 x $80 = $160.
6 dozen mini ch…",734,False,2961.5,1251,89
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,12,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",13,"To find out how many years it will take for Carlos to start earning money on the lemon tree, we need to divide the cost of the tree by the cost of the tree per year.

Cost of the tree: $90
Cost per ye…",30,False,2646.2,1256,81
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,13,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",18,"To find out how many vacuum cleaners Melanie started with, we need to add the ones she sold at each house.

She sold 1/3 of her vacuum cleaners at the green house, so she had 5 + 1/3 = 5 + 0.33 = 5.33…",10.33,False,4366.6,1247,167
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,14,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",60,"To find the percentage of students enrolled in hip-hop dance, we need to first find the number of students enrolled in hip-hop dance. 20 - 20% = 80% of the students enrolled in contemporary dance, and…",32,False,3189.7,1239,117
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,15,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",125,"To maximize profit, the merchant should choose the jewelry worth $5,000. 

The jewelry market will go up 2.5% in the month, so the price of the jewelry will be 5,000 + (5,000 * 0.025) = 5,000 + 125 = …",-2961,False,5273.1,1280,164
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,16,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",230,"To find the distance covered by each train in the two days, we need to add the distances covered on each day.

Day 1: The trains traveled 80 miles westward.
Day 2: The trains traveled 150 miles northw…",230,True,2152.1,1240,74
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,17,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",57500,"To find Jill's annual salary, we need to calculate her total hours worked per year and then multiply it by her hourly wage.

She works 50 weeks a year as a teacher, which is 50 x 52 = 2600 hours.
She …",67600,False,3105.2,1242,114
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,18,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",7,"To find the number of eggs Claire will eat in 4 weeks, we need to first find out how many eggs she eats in one week. Since there are 7 days in a week, she eats 3 eggs/day * 7 days = 21 eggs/week.

Now…",84,False,2872.4,1218,104
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,19,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",6,"To find the speed, we need to first find the total distance Marissa walked. She walked 4 + 2 = 6 miles in the first two hours. Then she walked 12 - 6 = 6 miles in the last two hours. So the total dist…",6,True,3318.4,1254,105
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,20,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",15,"To find the amount of water in the orange drink, first, we need to find the amount of water in the orange drink. Since it is two-thirds water, we can find the amount of water by multiplying 10 liters …",14.67,False,6744.1,1250,251
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,21,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",14,"To find out how many years ago Raymond's son was born, we need to subtract the years that have passed since Samantha was born from the years that have passed since Raymond was born.

Samantha is 31 ye…",25,False,2315.6,1233,82
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,22,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",7,"To find the total number of DVDs sold, we need to add the number of DVDs sold to each group of customers.

On Tuesday, Billy sold 3 DVDs to the first 3 customers, so he sold 3 x 1 = 3 DVDs.
He sold 2 …",16,False,3475.1,1245,125
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,23,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",8,"To find the total number of hours, we need to subtract the start time from the end time. 5:00 PM - 1:00 PM = 4 hours.
Since the candle melts 2 centimeters every hour, we multiply 4 hours by 2 centimet…",8,True,2792.6,1228,78
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,24,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",26,"To find the original price, we need to divide the discounted price by 0.75 (1 - 0.25).
Original price = Discounted price / 0.75
Original price = $19.50 / 0.75
Original price = $26.00
#### 26",26,True,1940.0,1226,63
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,25,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",2,"To find the number of boxes of pizza, we need to subtract the cost of the chicken meal, milk, and apples from the total amount paid.
Total cost of chicken meal, milk, and apples = $12 + $3*5 + $1.50*4…",2,True,3453.2,1253,127
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,26,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",243,"To find the total amount spent, we need to add the cost of each item and then multiply by the number of items.

Cost of shorts: 3 x $16.50 = $49.50
Cost of pants: 3 x $22.50 = $67.50
Cost of shoes: 3 …",253,False,2718.2,1253,97
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,27,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",16,"To find out how much Cynthia will spend on ice cream, we need to calculate the total number of servings she eats in 60 days.

She eats one serving per night, so in 60 days she eats 60 servings.
Since …",16,True,3099.0,1245,105
run_20260515_155308,meta-llama/Llama-3.2-1B-Instruct,gsm8k,42,28,"Solve each math problem step by step. Show your reasoning and end your answer with '#### <number>'.

Problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?
Solution: Natalia sold 48/2 = <<48…",25,"To find the distance between the first and second stops, we need to subtract the distance traveled before the first stop from the total distance traveled.
Distance traveled before the first stop = 20 …",40,False,2761.6,1237,75
